ID,MENU,PRICE,KEY,NAME,DESCRIPTION
293,1,5,A7,A7. TOFU and VEGGIE FRESH ROLLS (2),"Rice paper with Crispy tofu, vegetables and vermicelli"
294,1,6.5,A8,A8. *CHICKEN SATAY SKEWERS (3) ,"Marinated with Thai spices and grilled, served with peanut sauce"
295,1,7,A9,A9. BEEF SATAY SKEWERS (3),"Marinated with Thai spices and grilled, served with peanut sauce"
296,1,7,A10,A10. COCONUT SHRIMP (6),"Coconut Marinated shrimp, golden fried and served with plum sauce"
297,1,6.5,A9,A9. BEEF SATAY SKEWERS (3),"Marinated with Thai spices and grilled, served with peanut sauce"
298,1,7,A10,A10. SHRIMP SATAY SKEWERS (2),"Marinated with Thai spices and grilled, served with peanut sauce"
299,1,6,A11,A11. CRISPY TIGER SHRIMPS (6),Crispy breaded tiger shrimps
300,1,7.5,A12,A12. CRISPY CALAMARI,Lightly seasoned Crispy calamari
301,1,5,A13,A13. CRISPY TOFU,Crispy Marinated tofu
302,1,6,A14,A14. *CRISPY WONTON (8),"Crispy Marinated, stuffed Chicken/ shrimp wontons"
303,1,8.5,A15,A15. MUSSELS WITH BLACK BEAN SAUCE,Stir- fried and Marinated with house spices
304,1,8,A16,A16. CHICKEN WINGS (8),Deep-fried Chicken wings served with sticky Rice
305,6,0,P1,P1. *House Special Rice Noodle Soup,
306,6,8,P1_A,A) Regular,
307,6,9,P1_B,B) Large,
308,6,0,P2,P2. House Special Satay Rice Noodle Soup,
309,6,8,P2_A,A) Regular,
310,6,9,P2_B,B) Large,
311,6,0,P3,P3. *Chicken Rice Noodle Soup,
312,6,8,P3_A,A) Regular,
313,6,9,P3_B,B) Large,
314,6,0,P4,"P4. Chicken, Well Done Beef Rice Noodle Soup ",
315,6,8,P4_A,A) Regular,
316,6,9,P4_B,B) Large,
317,6,0,P5,P5. *Rare Beef Rice Noodle Soup,
318,6,8,P5_A,A) Regular,
319,6,9,P5_B,B) Large,
320,6,0,P6,"P6. Rare Beef, Well Done Beef Rice Noodle Soup ",
321,6,8,P6_A,A) Regular,
322,6,9,P6_B,B) Large,
323,6,0,P7,"P7. Rare Beef, Tripe Rice Noodle Soup ",
324,6,8,P7_A,A) Regular,
325,6,9,P7_B,B) Large,
326,6,0,P8,"P8. Rare Beef, Beef Balls Rice Noodle Soup",
327,6,8,P8_A,A) Regular,
328,6,9,P8_B,B) Large,
329,6,0,P9,P9. Well Done Beef Rice Noodle Soup,
330,6,8,P9_A,A) Regular,
331,6,9,P9_B,B) Large,
332,6,0,P10,"P10. *Well Done Beef, Tripe Rice Noodle Soup ",
333,6,8,P10_A,A) Regular,
334,6,9,P10_B,B) Large,
335,6,0,P11,"P11. Well Done Beef, Beef Balls Rice Noodle Soup ",
336,6,8,P11_A,A) Regular,
337,6,9,P11_B,B) Large,
338,6,0,P12,"P12. Rare Beef, Well Done Beef, Tripe Rice Noodle Soup ",
339,6,8,P12_A,A) Regular,
340,6,9,P12_B,B) Large,
341,6,0,P13,"P13. Rare Beef, Well Done Beef, and Beef Balls Rice Noodle Soup ",
342,6,8,P13_A,A) Regular,
343,6,9,P13_B,B) Large,
344,6,0,P14,P14. Beef Balls Rice Noodle Soup,
345,6,8,P14_A,A) Regular,
346,6,9,P14_B,B) Large,
347,6,0,P15,P15. Vegetable Rice Noodle Soup (Chicken Broth),
348,6,8,P15_A,A) Regular,
349,6,9,P15_B,B) Large,
350,4,10,,A) Beef ,
351,4,10,,B) Chicken,
354,7,12,Zz2,Zz2. *Sizzling Beef with Vegetables,(Your choice of: Satay sauce or black bean sauce)
357,7,13,Zz3,Zz3. Sizzling Tiger Shrimp with Vegetables,(Your choice of: Satay sauce or black bean sauce)
360,7,13.5,Zz4,Zz4. *Sizzling Seafood with Vegetables,(Your choice of: Satay sauce or black bean sauce)
365,11,12,F12,F12. STIR FRIED LEMON GRASS WITH BEEF OR CHICKENandSPICY CHILI ,"Stir fried mixed peppers with onions, lemongrass and hot chili"
368,2,7.5,S3,S3. *VEGGIE MANGO SALAD,"fresh shredded mango Mixed w/ onions, red/ green peppers
     and cashews tossed with tamarind vinaigrette"
369,2,8,S4,S4. *VIETNAMESE CABBAGE SALAD,"Chicken tossed with cabbage, carrot, green onion and peanut in Vietnamese spicy dressing"
371,8,12,T9,T9. THAI GINGER CHICKEN OR BEEF,Your choice of marinated chicken or beef sautéed in our sesame soy ginger sauce. Served with steam rice
