ID,MENU,PRICE,NAME,DESCRIPTION,KEY
171,171,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F4D,F4D
172,172,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F4E,F4E
173,173,11,11,0.00,0.00,"*STIR FRIED CASHEWS NUTS","*STIR FRIED CASHEWS NUTS","Served with vegetables and steam rice","Served with vegetables and steam rice",F5,F5
174,174,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F5A,F5A
175,175,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F5B,F5B
176,176,11,11,12.00,12.00,"C) Beef","C) Beef",,,F5C,F5C
177,177,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F5D,F5D
178,178,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F5E,F5E
179,179,11,11,0.00,0.00,"*CANTONESE CHOW MEIN","*CANTONESE CHOW MEIN","Crispy or soft egg noodles with vegetables in garlic sauce","Crispy or soft egg noodles with vegetables in garlic sauce",F6,F6
180,180,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F6A,F6A
181,181,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F6B,F6B
182,182,11,11,12.00,12.00,"C) Beef","C) Beef",,,F6C,F6C
183,183,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F6D,F6D
184,184,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F6E,F6E
185,185,11,11,0.00,0.00,"*STIR FRIED HO FUN","*STIR FRIED HO FUN","Thick rice noodles, mixed vegetables in mushroom soya sauce (egg)","Thick rice noodles, mixed vegetables in mushroom soya sauce (egg)",F7,F7
186,186,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F7A,F7A
187,187,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F7B,F7B
188,188,11,11,12.00,12.00,"C) Beef","C) Beef",,,F7C,F7C
189,189,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F7D,F7D
190,190,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F7E,F7E
191,191,11,11,0.00,0.00,"SHANGHAI NOODLES","SHANGHAI NOODLES","Thick wheat noodles stir-fried in a mushroom soya sauce (egg)","Thick wheat noodles stir-fried in a mushroom soya sauce (egg)",F8,F8
192,192,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F8A,F8A
193,193,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F8B,F8B
194,194,11,11,12.00,12.00,"C) Beef","C) Beef",,,F8C,F8C
195,195,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F8D,F8D
196,196,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F8E,F8E
197,197,11,11,0.00,0.00,"*SINGAPORE VEMICELLI","*SINGAPORE VEMICELLI","Thin rice noodles stir- fried in a curry paste (egg)","Thin rice noodles stir- fried in a curry paste (egg)",F9,F9
198,198,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F9A,F9A
199,199,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F9B,F9B
200,200,11,11,12.00,12.00,"C) Beef","C) Beef",,,F9C,F9C
201,201,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F9D,F9D
208,208,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F9E,F9E
78,78,5,5,10.00,10.00,"Grilled Beef<br>Com Bo","Grilled Beef<br>Com Bo",,,G1,G1
79,79,5,5,10.00,10.00,"Grilled Chicken<br>Com Ga","Grilled Chicken<br>Com Ga",,,G2,G2
80,80,5,5,10.00,10.00,"Grilled Pork Chop<br>Com Suon","Grilled Pork Chop<br>Com Suon",,,G3,G3
82,82,5,5,10.00,10.00,"*Grilled Beef and Fried Egg<br>Com Bo va Op la","*Grilled Beef and Fried Egg<br>Com Bo va Op la",,,G4,G4
83,83,5,5,10.00,10.00,"*Grilled Chicken and Fried Egg<br>Com Ga va Op La","*Grilled Chicken and Fried Egg<br>Com Ga va Op La",,,G5,G5
84,84,5,5,10.00,10.00,"Grilled Pork Chop and Fried Egg<br>Com Suon va Op La","Grilled Pork Chop and Fried Egg<br>Com Suon va Op La",,,G6,G6
85,85,5,5,10.00,10.00,"Grilled Pork Chop and Grilled Chicken<br>Com Suon va Ga nuong","Grilled Pork Chop and Grilled Chicken<br>Com Suon va Ga nuong",,,G7,G7
86,86,5,5,10.00,10.00,"Grilled Beef and Grilled Chicken<br>Com Suon va Ga nuong","Grilled Beef and Grilled Chicken<br>Com Suon va Ga nuong",,,G8,G8
305,305,6,6,0.00,0.00,"*House Special Rice Noodle Soup","*House Special Rice Noodle Soup",,,P1,P1
332,332,6,6,0.00,0.00,"*Well Done Beef, Tripe Rice Noodle Soup ","*Well Done Beef, Tripe Rice Noodle Soup ",,,P10,P10
333,333,6,6,8.00,8.00,"A) Regular","A) Regular",,,P10A,P10A
334,334,6,6,9.00,9.00,"B) Large","B) Large",,,P10B,P10B
335,335,6,6,0.00,0.00,"Well Done Beef, Beef Balls Rice Noodle Soup ","Well Done Beef, Beef Balls Rice Noodle Soup ",,,P11,P11
336,336,6,6,8.00,8.00,"A) Regular","A) Regular",,,P11A,P11A
337,337,6,6,9.00,9.00,"B) Large","B) Large",,,P11B,P11B
338,338,6,6,0.00,0.00,"Rare Beef, Well Done Beef, Tripe Rice Noodle Soup ","Rare Beef, Well Done Beef, Tripe Rice Noodle Soup ",,,P12,P12
339,339,6,6,8.00,8.00,"A) Regular","A) Regular",,,P12A,P12A
340,340,6,6,9.00,9.00,"B) Large","B) Large",,,P12B,P12B
341,341,6,6,0.00,0.00,"Rare Beef, Well Done Beef, and Beef Balls Rice Noodle Soup ","Rare Beef, Well Done Beef, and Beef Balls Rice Noodle Soup ",,,P13,P13
342,342,6,6,8.00,8.00,"A) Regular","A) Regular",,,P13A,P13A
343,343,6,6,9.00,9.00,"B) Large","B) Large",,,P13B,P13B
344,344,6,6,0.00,0.00,"Beef Balls Rice Noodle Soup","Beef Balls Rice Noodle Soup",,,P14,P14
345,345,6,6,8.00,8.00,"A) Regular","A) Regular",,,P14A,P14A
346,346,6,6,9.00,9.00,"B) Large","B) Large",,,P14B,P14B
347,347,6,6,0.00,0.00,"Vegetable Rice Noodle Soup (Chicken Broth)","Vegetable Rice Noodle Soup (Chicken Broth)",,,P15,P15
348,348,6,6,8.00,8.00,"A) Regular","A) Regular",,,P15A,P15A
349,349,6,6,9.00,9.00,"B) Large","B) Large",,,P15B,P15B
306,306,6,6,8.00,8.00,"A) Regular","A) Regular",,,"P1A ","P1A "
307,307,6,6,9.00,9.00,"B) Large","B) Large",,,"P1B ","P1B "
308,308,6,6,0.00,0.00,"House Special Satay Rice Noodle Soup","House Special Satay Rice Noodle Soup",,,P2,P2
309,309,6,6,8.00,8.00,"A) Regular","A) Regular",,,"P2A ","P2A "
310,310,6,6,9.00,9.00,"B) Large","B) Large",,,"P2B ","P2B "
311,311,6,6,0.00,0.00,"*Chicken Rice Noodle Soup","*Chicken Rice Noodle Soup",,,P3,P3
312,312,6,6,8.00,8.00,"A) Regular","A) Regular",,,P3A,P3A
313,313,6,6,9.00,9.00,"B) Large","B) Large",,,P3B,P3B
314,314,6,6,0.00,0.00,"Chicken, Well Done Beef Rice Noodle Soup ","Chicken, Well Done Beef Rice Noodle Soup ",,,P4,P4
315,315,6,6,8.00,8.00,"A) Regular","A) Regular",,,P4A,P4A
316,316,6,6,9.00,9.00,"B) Large","B) Large",,,P4B,P4B
317,317,6,6,0.00,0.00,"*Rare Beef Rice Noodle Soup","*Rare Beef Rice Noodle Soup",,,P5,P5
318,318,6,6,8.00,8.00,"A) Regular","A) Regular",,,P5A,P5A
319,319,6,6,9.00,9.00,"B) Large","B) Large",,,P5B,P5B
320,320,6,6,0.00,0.00,"Rare Beef, Well Done Beef Rice Noodle Soup ","Rare Beef, Well Done Beef Rice Noodle Soup ",,,P6,P6
321,321,6,6,8.00,8.00,"A) Regular","A) Regular",,,P6A,P6A
322,322,6,6,9.00,9.00,"B) Large","B) Large",,,P6B,P6B
323,323,6,6,0.00,0.00,"Rare Beef, Tripe Rice Noodle Soup ","Rare Beef, Tripe Rice Noodle Soup ",,,P7,P7
324,324,6,6,8.00,8.00,"A) Regular","A) Regular",,,P7A,P7A
325,325,6,6,9.00,9.00,"B) Large","B) Large",,,P7B,P7B
326,326,6,6,0.00,0.00,"Rare Beef, Beef Balls Rice Noodle Soup","Rare Beef, Beef Balls Rice Noodle Soup",,,P8,P8
327,327,6,6,8.00,8.00,"A) Regular","A) Regular",,,P8A,P8A
328,328,6,6,9.00,9.00,"B) Large","B) Large",,,P8B,P8B
329,329,6,6,0.00,0.00,"Well Done Beef Rice Noodle Soup","Well Done Beef Rice Noodle Soup",,,P9,P9
330,330,6,6,8.00,8.00,"A) Regular","A) Regular",,,P9A,P9A
331,331,6,6,9.00,9.00,"B) Large","B) Large",,,P9B,P9B
289,289,2,2,9.50,9.50,"HOUSE MANGO SALAD","HOUSE MANGO SALAD","-Shrimp andchicken skewers served on top of fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed in tamarind vinaigrette","-Shrimp andchicken skewers served on top of fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed in tamarind vinaigrette",S1,S1
290,290,2,2,8.50,8.50,"LOTTUS SALAD","LOTTUS SALAD","-Tiger shrimp, fresh lotus root, carrots and onions in house special sauce","-Tiger shrimp, fresh lotus root, carrots and onions in house special sauce",S2,S2
368,368,2,2,7.50,7.50,"*VEGGIE MANGO SALAD","*VEGGIE MANGO SALAD","-Fresh shredded mango mixed w/ onions, red/ green peppers 
     and cashews tossed with tamarind vinaigrette
","-Fresh shredded mango mixed w/ onions, red/ green peppers 
     and cashews tossed with tamarind vinaigrette
",S3,S3
369,369,2,2,8.00,8.00,"*VIETNAMESE CABBAGE SALAD","*VIETNAMESE CABBAGE SALAD","-Chicken tossed with cabbage, carrot, green onion and peanut in Vietnamese spicy dressing","-Chicken tossed with cabbage, carrot, green onion and peanut in Vietnamese spicy dressing",S4,S4
34,34,3,3,7.00,7.00,"*WONTON SOUP","*WONTON SOUP","-Chicken and shrimp wontons in chicken broth","-Chicken and shrimp wontons in chicken broth",SO1,SO1
35,35,3,3,0.00,0.00,"TOM YUM SOUP","TOM YUM SOUP",,,SO2,SO2
36,36,3,3,7.50,7.50,"A) Tofu Vegetable","A) Tofu Vegetable",,,"SO2A ","SO2A "
37,37,3,3,7.50,7.50,"B) Chicken","B) Chicken",,,"SO2B ","SO2B "
38,38,3,3,8.50,8.50,"C) Shrimp","C) Shrimp",,,"SO2C ","SO2C "
41,41,3,3,8.50,8.50,"D) Shrimp and Chicken","D) Shrimp and Chicken",,,"SO2D ","SO2D "
42,42,3,3,0.00,0.00,"COCONUT TOM YUM SOUP","COCONUT TOM YUM SOUP",,,SO3,SO3
43,43,3,3,7.50,7.50,"A) Tofu Vegetable","A) Tofu Vegetable",,,SO3A,SO3A
44,44,3,3,7.50,7.50,"B) Chicken","B) Chicken",,,SO3B,SO3B
45,45,3,3,8.50,8.50,"C) Shrimp","C) Shrimp",,,SO3C,SO3C
46,46,3,3,8.50,8.50,"D) Shrimp and Chicken","D) Shrimp and Chicken",,,SO3D,SO3D
48,48,3,3,10.00,10.00,"SEAFOOD EGG NOODLE SOUP (Mi hai san)","SEAFOOD EGG NOODLE SOUP (Mi hai san)","-Mixed seafood, egg noodle in chicken broth","-Mixed seafood, egg noodle in chicken broth",SO4,SO4
