ID,MENU,PRICE,NAME,DESCRIPTION,KEY
226,3,7,SO7. HOT AND SOUR SOUP,-Bamboo shoots and mushrooms in mild eggs drop soup,SO7
229,8,0,T5. PINEAPPLE CURRY,"Mixed vegetables, mushrooms, fresh pineapple in special home-made Thai curry",T5
230,8,12,A) Tofu and Vegetable,,T5A
231,8,12,B) Chicken,,T5B
232,8,12,C) Beef,,T5C
233,8,13,D) Tiger shrimp,,T5D
234,8,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T5E
235,8,0,T6. *BASIL THAI SPICY NOODLE,"Thai rice noodle, egg, onions, carrots and basil leaves in soda sauce",T6
236,8,12,A) Tofu and Vegetable,,T6A
237,8,12,B) Chicken,,T6B
238,8,12,C) Beef,,T6C
239,8,13,D) Tiger shrimp,,T6D
240,8,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels",,T6E
251,9,6,D3. Mango Sticky Rice,,D3
252,9,4,D4. Tropical Ice Cream (Mango or Cherry Or Chocolate),,D4
273,8,0,T7. *THAI FRIED RICE,"Thai fried rice w/ pineapples, cashew nuts, green bean and tomato sauce (egg)",T7
274,8,12,A) Tofu and Vegetable,,T7A
275,8,12,B) Chicken,,T7B
276,8,12,C) Beef,,T7C
277,8,13,D) Tiger Shrimp,,T7D
278,8,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T7E
279,8,0,T8. PAD SEW,Stir fried thick rice noodle w/ mixed vegetable in mushroom soya sauce,T8
280,8,12,A) Tofu and Vegetable,,T8A
281,8,12,B) Chicken,,T8B
282,8,12,C) Beef,,T8C
283,8,13,D) Tiger Shrimp,,T8D
284,8,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T8E
289,2,9.5,S1. HOUSE MANGO SALAD,"-Shrimp andchicken skewers served on top of fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed in tamarind vinaigrette",S1
290,2,8.5,S2. LOTTUS SALAD,"-Tiger shrimp, fresh lotus root, carrots and onions in house special sauce",S2
293,1,5,A7. TOFU and VEGGIE FRESH ROLLS (2),"-Rice paper with crispy tofu, vegetables and vermicelli",A7
294,1,6.5,A8. *CHICKEN SATAY SKEWERS (3) ,"-Marinated with Thai spices and grilled, served with peanut sauce",A8
295,1,7,A9. BEEF SATAY SKEWERS (3),"-Marinated with Thai spices and grilled, served with peanut sauce",A9
296,1,7,A10. COCONUT SHRIMP (6),"-Coconut marinated shrimp, golden fried and served with plum sauce",A10
