MENU,PRICE,NAME,DESCRIPTION,KEY
2,9.5,HOUSE MANGO SALAD,"-Shrimp andchicken skewers served on top of fresh shredded mango mixed w/ onions, red/ green peppers and cashews tossed in tamarind vinaigrette",S1
2,8.5,LOTTUS SALAD,"-Tiger shrimp, fresh lotus root, carrots and onions in house special sauce",S2
2,7.5,*VEGGIE MANGO SALAD,"-Fresh shredded mango mixed w/ onions, red/ green peppers 
     and cashews tossed with tamarind vinaigrette
",S3
2,8,*VIETNAMESE CABBAGE SALAD,"-Chicken tossed with cabbage, carrot, green onion and peanut in Vietnamese spicy dressing",S4
3,7,*WONTON SOUP,-Chicken and shrimp wontons in chicken broth,SO1
3,0,TOM YUM SOUP,,SO2
3,7.5,Tofu Vegetable,,SO2_A   
3,7.5,Chicken,,SO2_B   
3,8.5,Shrimp,,SO2_C   
3,8.5,Shrimp and Chicken,,SO2_D  
3,0,COCONUT TOM YUM SOUP,,SO3
3,7.5,Tofu Vegetable,,SO3A
3,7.5,Chicken,,SO3B
3,8.5,Shrimp,,SO3C
3,8.5,Shrimp and Chicken,,SO3D
3,10,SEAFOOD EGG NOODLE SOUP (Mi hai san),"-Mixed seafood, egg noodle in chicken broth",SO4
3,9,"WONTON EGG NOODLE SOUP (Wonton Mi)	","-Egg noodle, chicken and shrimp wontons in chicken broth",SO5
3,10,*THAI STYLE SEAFOOD RICE NOODLE SOUP (Pho Thai),"-Rice noodle w/ shrimp, calamari, mussels, crab and fish ball",SO6
3,7,HOT AND SOUR SOUP,-Bamboo shoots and mushrooms in mild eggs drop soup,SO7
8,0,*PAD THAI,"Thai rice noodles, egg, bean sprouts, carrots and onions in tamarind and tomato sauce. Garnished with roasted peanuts.",T1
8,12,Tofu and Vegetable,,T1A
8,12,Chicken,,T1B 
8,12,Beef,,T1C 
8,13,Tiger Shrimp,,T1D 
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T1E 
8,0,*THAI RED OR GREEN CURRY,"Red chili curry, mushrooms, eggplant and mixed vegetable served with rice",T2
8,12,Tofu and Vegetable,,T2A
8,12,Chicken,,T2B
8,12,Beef,,T2C
8,13,Tiger Shrimp,,T2D
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T2E
8,0,SPICY GOLDEN CURRY,"Mixed peppers and onions, lemongrass, red chili in Thai curry",T3
8,12,Tofu and Vegetable,,T3A
8,12,Chicken,,T3B
8,12,Beef,,T3C
8,13,Tiger Shrimp,,T3D
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T3E
8,0,PEANUT CURRY,"Mixed vegetables, mushrooms, roasted peanut in special home-made Thai curry",T4
8,12,Tofu and Vegetable,,T4A
8,12,Chicken,,T4B
8,12,Beef,,T4C
8,13,Tiger Shrimp,,T4D
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T4E
8,0,PINEAPPLE CURRY,"Mixed vegetables, mushrooms, fresh pineapple in special home-made Thai curry",T5
8,12,Tofu and Vegetable,,T5A
8,12,Chicken,,T5B
8,12,Beef,,T5C
8,13,Tiger shrimp,,T5D
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T5E
8,0,*BASIL THAI SPICY NOODLE,"Thai rice noodle, egg, onions, carrots and basil leaves in soda sauce",T6
8,12,Tofu and Vegetable,,T6A
8,12,Chicken,,T6B
8,12,Beef,,T6C
8,13,Tiger shrimp,,T6D
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels",,T6E
8,0,*THAI FRIED RICE,"Thai fried rice w/ pineapples, cashew nuts, green bean and tomato sauce (egg)",T7
8,12,Tofu and Vegetable,,T7A
8,12,Chicken,,T7B
8,12,Beef,,T7C
8,13,Tiger Shrimp,,T7D
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T7E
8,0,PAD SEW,Stir fried thick rice noodle w/ mixed vegetable in mushroom soya sauce,T8
8,12,Tofu and Vegetable,,T8A
8,12,Chicken,,T8B
8,12,Beef,,T8C
8,13,Tiger Shrimp,,T8D
8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T8E
8,12,THAI GINGER CHICKEN OR BEEF,Your choice of marinated chicken or beef sautéed in our sesame soy ginger sauce. Served with steam rice,T9
4,10,Grilled Beef and Spring Roll<br>Bun Bo va cha gio,,V1
4,10,*Grilled Chicken and Spring Roll<br>Bun Ga va cha gio,,V2
4,10,*Grilled Pork and Spring Roll<br>Bun Thit nuong va cha gio,,V3
4,10,"Grilled Beef<br>Bun Bo	",,V4
4,10,Grilled Chicken<br>Bun Ga,,V5
4,10,"Grilled Pork<br>Bun thit nuong	",,V6
4,0,Stir Fried Lemon Grass with Beef or Chicken and Spicy Chili<br>Bun bo hoac ga xao xa ot ,,V7
4,10,Beef ,,V7A 
4,10,Chicken,,V7B 
7,12,*Sizzling Chicken with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz1
7,12,*Sizzling Beef with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz2
7,13,Sizzling Tiger Shrimp with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz3
7,13.5,*Sizzling Seafood with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz4
